Date,Open,High,Low,Close,Adj Close,Volume
2018-09-17,735.000000,740.000000,724.599976,725.950012,627.834839,5427054
2018-09-18,730.000000,730.000000,717.000000,719.099976,621.910583,7729732
2018-09-19,727.000000,727.000000,713.200012,719.750000,622.472778,4849498
2018-09-21,713.849976,717.400024,692.000000,705.299988,609.975830,14350769
2018-09-24,706.500000,729.950012,706.500000,718.250000,621.175476,8637881
2018-09-25,718.250000,736.000000,717.000000,726.200012,628.051086,9602273
2018-09-26,731.200012,731.849976,712.000000,717.849976,620.829651,6599606
2018-09-27,722.000000,730.799988,717.450012,724.799988,626.840210,14592616
2018-09-28,721.000000,734.549988,715.200012,730.049988,631.380676,7490031
2018-10-01,737.500000,754.900024,733.000000,746.650024,645.737183,8252398
2018-10-03,743.799988,751.950012,726.299988,728.500000,630.040222,7792464
2018-10-04,728.500000,729.750000,702.500000,707.200012,611.618958,6173037
2018-10-05,713.000000,731.500000,709.299988,724.599976,626.667297,8543578
2018-10-08,725.049988,728.700012,709.250000,714.450012,617.889099,7259306
2018-10-09,717.099976,722.400024,702.650024,717.750000,620.743103,6777212
2018-10-10,719.900024,719.900024,695.400024,700.450012,605.781372,8866251
2018-10-11,685.000000,692.900024,663.299988,673.349976,582.343994,10985897
2018-10-12,676.400024,684.049988,661.500000,678.799988,587.057373,8909221
2018-10-15,688.599976,705.000000,681.500000,698.799988,604.354370,6222176
2018-10-16,710.000000,713.900024,689.400024,695.250000,601.284119,11588963
2018-10-17,710.000000,721.799988,701.349976,705.349976,610.018982,20360697
2018-10-19,687.000000,687.700012,678.000000,683.549988,591.165405,10421001
2018-10-22,688.700012,695.049988,673.799988,679.950012,588.052002,6672840
2018-10-23,675.950012,682.000000,653.299988,657.599976,568.722656,9041701
2018-10-24,663.000000,666.500000,647.150024,649.799988,561.976746,7058164
2018-10-25,643.000000,656.349976,636.250000,648.750000,567.178711,8270469
2018-10-26,645.299988,648.700012,629.900024,633.599976,553.933655,5464141
2018-10-29,633.700012,650.549988,631.500000,644.750000,563.681702,7137446
2018-10-30,641.099976,663.799988,637.450012,659.599976,576.664490,8793411
2018-10-31,663.900024,692.950012,663.049988,686.400024,600.094727,11947995
2018-11-01,689.700012,689.700012,659.599976,666.700012,582.871704,5860244
2018-11-02,665.950012,675.799988,660.099976,662.250000,578.981201,6654067
2018-11-05,663.500000,668.599976,657.000000,666.000000,582.259705,5799426
2018-11-06,667.900024,675.000000,660.650024,666.450012,582.653198,6975525
2018-11-07,673.000000,677.500000,672.000000,675.500000,590.565308,758956
2018-11-09,679.000000,679.000000,655.500000,659.500000,576.577087,9694143
2018-11-12,666.000000,676.400024,662.299988,664.200012,580.686096,7118080
2018-11-13,663.500000,667.750000,656.299988,665.700012,581.997620,4137808
